 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
11472,323.614,39.493,633.647,916.899,1.024,1.186,2.411,2.792,2.602,3.238,16.683,0.432,0.500,0.465,0.536,1.096,1.263,0.836,1
11473,310.573,52.324,1216.380,951.817,1.515,0.842,3.568,1.984,2.776,3.474,17.262,0.504,0.282,0.539,0.294,1.270,0.691,0.723,1
11474,302.288,33.740,1948.395,961.081,1.261,1.047,2.970,2.466,2.718,3.107,14.966,0.560,0.465,0.605,0.501,1.424,1.181,0.925,1
11475,316.540,44.423,1756.474,962.718,2.083,2.110,4.905,4.968,4.937,7.840,9.799,0.423,0.432,0.695,0.710,1.636,1.673,1.170,1
11476,323.078,70.554,647.546,979.212,1.125,0.605,2.650,1.424,2.037,2.610,20.645,0.319,0.211,0.329,0.192,0.776,0.452,0.449,1
11477,315.490,41.041,231.884,997.301,1.337,1.685,3.148,3.969,3.559,4.159,11.866,0.386,0.487,0.468,0.577,1.101,1.359,0.875,1
11478,315.477,76.423,1517.764,1029.060,0.806,0.683,1.897,1.609,1.753,2.575,21.067,0.239,0.222,0.243,0.174,0.571,0.409,0.351,1
11479,311.963,53.988,1980.335,1037.246,1.215,1.459,2.862,3.435,3.148,3.306,12.161,0.274,0.328,0.311,0.371,0.732,0.873,0.570,1
11480,319.019,67.226,764.066,1044.653,0.779,0.819,1.834,1.929,1.881,2.500,19.846,0.240,0.243,0.217,0.266,0.512,0.627,0.405,1
11481,315.729,53.823,405.686,1066.808,0.735,0.986,1.730,2.322,2.026,2.638,20.313,0.267,0.358,0.304,0.370,0.716,0.871,0.564,1
11482,336.344,55.679,1533.838,1091.029,0.953,1.724,2.245,4.060,3.152,3.349,14.004,0.239,0.436,0.261,0.484,0.615,1.140,0.648,1
11483,320.583,43.693,617.769,1093.294,1.008,0.666,2.373,1.569,1.971,2.995,25.064,0.538,0.373,0.555,0.428,1.306,1.008,0.825,1
