 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
1295,310.592,77.564,874.199,589.405,0.579,1.081,1.363,2.545,1.954,2.428,20.320,0.195,0.271,0.167,0.280,0.393,0.659,0.384,7
1296,341.792,88.103,2007.495,897.018,0.840,1.162,1.977,2.735,2.356,3.480,21.605,0.198,0.278,0.228,0.292,0.536,0.688,0.436,7
1297,312.199,48.732,1426.147,979.390,0.644,1.145,1.517,2.695,2.106,2.791,19.442,0.309,0.477,0.254,0.495,0.598,1.164,0.655,7
1298,302.353,39.960,361.918,1085.052,1.356,0.995,3.192,2.342,2.767,2.862,13.528,0.460,0.338,0.498,0.363,1.173,0.855,0.726,7
1299,319.088,52.625,1126.298,1131.967,0.544,1.256,1.280,2.958,2.119,2.960,35.466,0.355,0.546,0.433,0.564,1.019,1.329,0.837,7
1300,314.113,45.903,1325.183,1150.991,1.571,0.879,3.699,2.070,2.884,3.165,14.898,0.516,0.290,0.557,0.299,1.312,0.704,0.744,7
1301,315.559,38.824,979.380,1238.053,1.203,1.076,2.833,2.533,2.683,3.187,15.581,0.483,0.432,0.522,0.465,1.228,1.096,0.823,7
1302,310.298,41.511,1665.034,1428.289,1.554,0.876,3.658,2.063,2.861,3.214,15.277,0.569,0.321,0.614,0.353,1.445,0.831,0.833,7
1303,301.858,49.824,152.229,1459.561,1.139,1.025,2.683,2.413,2.548,3.547,18.852,0.430,0.387,0.460,0.416,1.083,0.980,0.730,7
1304,371.580,53.842,1645.144,1589.648,1.231,0.805,2.898,1.895,2.396,3.205,19.662,0.439,0.284,0.462,0.323,1.089,0.761,0.664,7
1305,359.128,58.469,1725.547,1612.393,2.224,2.167,5.237,5.104,5.170,12.339,13.143,0.433,0.419,0.792,0.776,1.866,1.827,1.305,7
1306,301.843,71.692,267.322,1647.704,0.571,1.317,1.344,3.102,2.223,3.015,31.955,0.223,0.403,0.305,0.419,0.719,0.986,0.610,7
1307,366.180,48.947,1103.378,1686.762,0.620,1.151,1.461,2.711,2.086,3.980,40.170,0.384,0.701,0.623,0.727,1.468,1.712,1.128,7
1308,314.621,49.186,1734.819,1816.302,1.093,1.099,2.573,2.589,2.581,3.452,17.935,0.398,0.401,0.426,0.430,1.004,1.011,0.713,7
1309,299.477,39.484,387.654,1818.053,1.212,0.965,2.855,2.272,2.563,3.365,17.805,0.549,0.438,0.586,0.460,1.380,1.084,0.877,7
1310,294.970,84.956,1184.893,2.037,0.521,0.512,1.226,1.205,1.216,3.361,28.840,0.362,0.366,0.223,0.199,0.525,0.468,0.352,7
1311,290.813,44.468,685.101,75.182,1.974,1.699,4.647,4.002,4.325,5.909,11.275,0.488,0.423,0.645,0.577,1.519,1.358,1.019,7
1312,347.351,232.097,1909.078,98.004,4.568,4.105,10.758,9.667,10.213,24.204,26.862,0.233,0.704,0.562,0.859,1.323,2.023,1.209,7
1313,286.706,86.782,13.195,187.213,0.576,1.147,1.357,2.700,2.029,3.095,24.906,0.215,0.317,0.182,0.326,0.429,0.769,0.440,7
1314,307.180,38.487,710.944,217.567,1.023,0.976,2.409,2.298,2.353,2.959,17.696,0.470,0.447,0.492,0.478,1.160,1.125,0.808,7
1315,316.255,62.813,831.221,270.565,1.007,0.697,2.371,1.642,2.007,1.988,17.377,0.240,0.157,0.248,0.231,0.585,0.545,0.400,7
1316,304.985,48.759,1889.404,338.204,1.093,0.968,2.574,2.280,2.427,3.075,17.582,0.394,0.350,0.418,0.369,0.985,0.868,0.657,7
1317,311.201,46.505,935.536,479.310,1.138,0.904,2.679,2.129,2.404,3.056,17.924,0.437,0.346,0.462,0.371,1.087,0.875,0.698,7
1318,306.449,63.682,494.408,543.980,0.558,1.127,1.315,2.655,1.985,2.655,45.781,0.210,0.387,0.473,0.399,1.115,0.941,0.729,7
1319,292.893,38.462,1918.822,586.910,1.411,1.298,3.322,3.056,3.189,3.381,11.965,0.439,0.404,0.501,0.462,1.179,1.089,0.802,7
1320,305.579,70.523,1625.525,601.402,0.668,1.291,1.574,3.041,2.307,2.499,20.741,0.141,0.300,0.246,0.314,0.580,0.739,0.470,7
1321,304.515,68.117,1669.042,667.250,0.820,0.721,1.932,1.699,1.815,2.371,19.724,0.245,0.218,0.230,0.223,0.542,0.526,0.377,7
1322,374.742,59.705,1380.043,774.945,1.383,0.841,3.257,1.980,2.618,3.951,20.800,0.491,0.302,0.523,0.300,1.231,0.705,0.709,7
1323,300.721,50.929,1978.644,833.156,1.432,0.775,3.373,1.825,2.599,2.794,15.225,0.437,0.242,0.463,0.236,1.090,0.556,0.612,7
1324,310.481,39.400,437.209,874.535,0.936,2.449,2.204,5.766,3.985,3.642,12.389,0.286,0.783,0.327,0.938,0.770,2.209,1.170,7
1325,293.095,56.112,2016.909,900.743,3.119,2.368,7.344,5.577,6.461,7.695,8.621,0.699,0.377,0.943,0.625,2.221,1.471,1.332,7
1326,310.991,50.186,1420.225,922.257,1.142,0.721,2.689,1.697,2.193,2.652,18.338,0.412,0.266,0.429,0.280,1.010,0.660,0.603,7
1327,311.634,49.147,867.800,933.712,1.037,1.027,2.441,2.419,2.430,2.314,13.176,0.278,0.275,0.294,0.292,0.693,0.688,0.488,7
1328,306.770,75.909,1427.953,946.133,1.315,0.473,3.097,1.115,2.106,2.592,22.382,0.338,0.292,0.347,0.182,0.817,0.429,0.461,7
1329,314.947,45.107,811.870,1106.634,1.020,1.151,2.402,2.710,2.556,3.261,17.241,0.390,0.440,0.415,0.471,0.978,1.108,0.739,7
1330,309.710,66.321,1397.865,1250.790,0.704,1.003,1.659,2.362,2.011,2.669,19.280,0.228,0.304,0.198,0.314,0.467,0.739,0.437,7
1331,306.691,68.824,642.142,1273.413,1.069,0.822,2.517,1.936,2.226,2.805,18.767,0.284,0.215,0.296,0.247,0.697,0.581,0.454,7
1332,306.319,48.149,935.356,1333.723,1.162,1.031,2.736,2.427,2.581,3.037,15.820,0.382,0.338,0.409,0.363,0.962,0.854,0.643,7
